ID_NUMBER,FACILITY_NAME,ACTIVITY_LOCATION,FULL_ENFORCEMENT,HREPORT_UNIVERSE_RECORD,STREET_ADDRESS,CITY_NAME,STATE_CODE,ZIP_CODE,LATITUDE83,LONGITUDE83,FED_WASTE_GENERATOR,TRANSPORTER,ACTIVE_SITE,OPERATING_TSDF
ALD983168196,FEDERAL EXPRESS CORPORATION,AL,------,Other,9584 HIGHWAY 20 WEST,MADISON,AL,35758,,,,N  ,-----,------         
ALR000035964,WADLEY HIGH SCHOOL,AL,------,VSQG,105 BAILEY ST,WADLEY,AL,36276,,,3,N  ,H----,------         
ALR000029074,BISHOP STATE COMMUNITY COLLEGE SW,AL,------,VSQG,925 DAUPHIN ISLAND PARKWAY,MOBILE,AL,36605,,,3,N  ,H----,------         
ALR000033928,NORFOLK SOUTHERN RAILWAY COMPANY,AL,------,Other,317 CHURCH STREET SW,HUNTSVILLE,AL,35801,,,,N  ,-----,------         
ALR000038109,SARGE'S DIXIE MOTORS,AL,------,Other,407 GAULT AVENUE S,FORT PAYNE,AL,35967,,,,N  ,-----,------         
ALR000031948,BUDDYS SMALL ENGINE,AL,------,Other,2500 TRIANA BLVD,HUNTSVILLE,AL,35805,34.7146,-86.6091,,N  ,-----,------         
ALR000029355,ANNISTON CENTER,AL,------,Other,2101 NOBLE STREET,ANNISTON,AL,36202,,,N  ,N  ,-----,------         
ALR000028787,SCOTTS TRUCK SERVICE,AL,------,Other,1110 EAST PETTUS STREET,DEMOPOLIS,AL,36732,,,,N  ,-----,------         
ALR000028639,ALABAMA CORRECTIONAL IND / J TUTWILER,AL,------,VSQG,8966 HIGHWAY 231 N,WETUMPKA,AL,36092,,,3,N  ,H----,------         
ALR000056218,AARON OIL COMPANY INC.,AL,------,Other,211 COMMERCE STREET,SARALAND,AL,36571,,,N  ,N  ,-----,------         
ALR000036137,CENTIMARK CORP,AL,------,VSQG,278 CAHABA VALLEY PARKWAY,PELHAM,AL,35124,,,3,N  ,H----,------         
ALR000028886,HORSECREEK AUTOMOTIVE,AL,------,VSQG,2662 HORSECREEK BLVD,DORA,AL,35062,,,3,N  ,H----,------         
ALR000033894,NORFOLK SOUTHERN RAILWAY COMPANY,AL,------,Other,418 NORTH BROADWAY,SYLACAUGA,AL,35150,33.17256,-86.25051,,N  ,-----,------         
ALR000033886,NORFOLK SOUTHERN RAILWAY COMPANY,AL,------,Other,111 WARREN STREET,JACKSON,AL,36545,,,,N  ,-----,------         
ALR000029124,MCKENZIE TANK LINES INC,AL,------,VSQG,2651 SOUTH UNIROYAL ROAD,OPELIKA,AL,36801,,,3,N  ,H----,------         
ALR000029199,SHERWIN-WILLIAMS STORE #2340,AL,------,VSQG,2416 N BROAD ST,SELMA,AL,36701-4009,,,3,N  ,H----,------         
ALR000029090,AL SOUTHERN COMMUNITY COLLEGE,AL,------,Other,2800 HWY 21 SOUTH,MONROEVILLE,AL,36460,,,N  ,N  ,-----,------         
ALR000033910,NORFOLK SOUTHERN RAILWAY COMPANY,AL,------,Other,1724 1ST AVENUE SOUTH,PELL CITY,AL,35125,,,,N  ,-----,------         
