ID_NUMBER,ACTIVITY_LOCATION,NAICS_CODE
ALR000043950,AL    ,22131
ALD983173956,AL    ,62211
ALD051998664,AL    ,44111
ALR000033209,AL    ,452311
ALR000028266,AL    ,811191
ALR000043919,AL    ,811113
ALD982134025,AL    ,92119
ALD983173253,AL    ,81111
ALR000023119,AL    ,811111
ALR000027342,AL    ,221122
ALR000032334,AL    ,221122
AL0000819250,AL    ,81111
ALD983169202,AL    ,48849
ALR000018820,AL    ,33632
ALR000002055,AL    ,326111
ALR000013060,AL    ,42114
ALR000035253,AL    ,61111
ALD982141483,AL    ,811121
ALD983191727,AL    ,326199
ALR000040386,AL    ,23731
ALD079107603,AL    ,54138
ALD983181751,AL    ,48423
ALR000040220,AL    ,53113
ALR000034041,AL    ,562212
ALR000053082,AL    ,811191
ALR000038711,AL    ,42181
ALR000019109,AL    ,562111
ALR000019042,AL    ,44131
ALR000032961,AL    ,332111
ALR000045526,AL    ,61111
ALR000004226,AL    ,331314
ALD982156366,AL    ,811121
ALR000018812,AL    ,31323
ALR000037663,AL    ,81111
ALR000003772,AL    ,811111
ALR000017533,AL    ,81111
ALR000017533,AL    ,811118
ALR000007153,AL    ,48411
ALR000012104,AL    ,541618
ALR000043604,AL    ,323115
AL0000028811,AL    ,332313
ALD983176454,AL    ,811121
ALD983176496,AL    ,42182
AL0000126193,AL    ,811111
ALR000051565,AL    ,44611
GAD981022510,AL    ,42193
ALR000050963,AL    ,811113
ALR000000331,AL    ,811111
ALR000009993,AL    ,811111
ALD982109647,AL    ,92411
ALR000035204,AL    ,61111
ALR000023549,AL    ,45291
ALD983180332,AL    ,44131
AL0000871020,AL    ,81232
ALR000037234,AL    ,332116
ALR000045781,AL    ,56291
ALR000048074,AL    ,811111
ALR000011965,AL    ,336611
ALD982109993,AL    ,92711
ALD982098436,AL    ,81111
ALR000040956,AL    ,311615
ALR000039487,AL    ,452311
ALD094475027,AL    ,339999
ALR000002980,AL    ,92811
ALD079127197,AL    ,4841
ALR000016352,AL    ,81111
ALD983191859,AL    ,332813
ALD008200875,AL    ,811111
ALR000031385,AL    ,48412
ALR000009654,AL    ,81232
ALD983174707,AL    ,332439
ALD983191453,AL    ,326191
ALR000010652,AL    ,321999
ALR000023630,AL    ,452311
ALR000039453,AL    ,811118
ALR000018119,AL    ,48411
ALR000018358,AL    ,32616
ALD980838452,AL    ,332812
ALR000037929,AL    ,48411
ALR000032458,AL    ,452311
ALR000042713,AL    ,44111
ALR000010983,AL    ,621112
ALR000025288,AL    ,81111
ALD982085888,AL    ,23731
ALR000021857,AL    ,811111
ALR000003558,AL    ,324121
ALR000014613,AL    ,212312
ALR000047274,AL    ,811111
ALR000005777,AL    ,71393
ALD034047845,AL    ,811112
ALD000613281,AL    ,31323
ALN970819000,AL    ,337110
ALD981923121,AL    ,33351
ALD000653154,AL    ,49311
ALD981747991,AL    ,811111
ALD983191891,AL    ,32311
ALR000040287,AL    ,23731
ALD983192261,AL    ,332813
ALD003310372,AL    ,42269
ALD981476930,AL    ,811111
ALR000017046,AL    ,811111
ALD000615658,AL    ,221112
ALR000016980,AL    ,81111
ALD983191990,AL    ,812199
ALR000036707,AL    ,22121
ALR000010801,AL    ,49221
ALR000026104,AL    ,81111
ALR000021998,AL    ,811111
ALR000029751,AL    ,48832
ALR000029751,AL    ,532111
ALD982157216,AL    ,811121
ALD983184904,AL    ,562112
ALR000023796,AL    ,452311
ALR000030536,AL    ,48541
GAD980845077,AL    ,424690
GAD981222433,AL    ,32411
ALD983194358,AL    ,811192
ALD068084870,AL    ,337122
ALD983179227,AL    ,23411
ALR000045468,AL    ,49221
ALR000033712,AL    ,44411
ALR000033225,AL    ,32732
ALD034025221,AL    ,44111
ALR000010702,AL    ,212312
ALR000005009,AL    ,325211
ALD072103138,AL    ,61121
ALR000037069,AL    ,48423
ALR000041079,AL    ,321219
ALD982166514,AL    ,44111
ALR000036954,AL    ,48541
ALR000032177,AL    ,45231
ALR000021931,AL    ,811111
ALR000047852,AL    ,32512
NCD986172476,AL    ,423930
KYD981806383,AL    ,54162
SCR000762245,AL    ,92612
SCR000761569,AL    ,11111
SCR000760850,AL    ,562910
GAR000042119,AL    ,48421
ALR000012344,AL    ,81111
ALR000046458,AL    ,44419
ALR000027938,AL    ,23829
ALR000052696,AL    ,44611
GAR000026088,AL    ,562112
AL0000629469,AL    ,33711
ALR000012005,AL    ,331491
ALR000009951,AL    ,332813
ALR000047365,AL    ,811111
ALR000052514,AL    ,446110
ALR000051409,AL    ,562111
ALD983168089,AL    ,562998
ALR000036822,AL    ,335991
ALD077647691,AL    ,61131
ALD000823344,AL    ,326211
ALR000053439,AL    ,221112
ALR000049866,AL    ,62211
ALR000006700,AL    ,812332
ALD981020894,AL    ,562211
ALR000038893,AL    ,336211
ALR000038224,AL    ,446110
ALR000001131,AL    ,49311
ALR000036053,AL    ,49311
ALD003396983,AL    ,331529
ALR000038943,AL    ,452210
ALR000054080,AL    ,811191
WI0000122358,AL    ,42193
INR000104224,AL    ,42269
ILD062333752,AL    ,49311
IND000646943,AL    ,562219
LAR000059592,AL    ,484121
