ID_NUMBER,ACTIVITY_LOCATION,NAICS_CODE
ALR000037705,AL    ,81111
ALR000017251,AL    ,81111
ALD983174772,AL    ,44111
ALR000022814,AL    ,336611
ALR000030791,AL    ,33636
ALR000045278,AL    ,49221
AL0000131458,AL    ,332710
ALR000015875,AL    ,21112
ALR000018994,AL    ,44131
ALD983176314,AL    ,811111
ALR000043745,AL    ,33391
ALR000046201,AL    ,811111
ALR000028613,AL    ,48412
ALR000019281,AL    ,81111
ALD144585163,AL    ,321912
ALD983176058,AL    ,212312
ALR000015883,AL    ,21112
ALR000047126,AL    ,452311
ALR000012831,AL    ,333994
ALR000044685,AL    ,44132
ALD062457841,AL    ,42471
AL1180000001,AL    ,811111
ALD983177270,AL    ,81149
ALD983174467,AL    ,49313
ALD034084871,AL    ,44111
ALR000051078,AL    ,486210
ALD983168337,AL    ,44611
ALD061139309,AL    ,324199
ALR000001347,AL    ,81112
ALD034104646,AL    ,335911
ALD982082620,AL    ,332116
ALD982082620,AL    ,333515
ALR000014811,AL    ,811111
ALD004005567,AL    ,325311
ALD982098311,AL    ,33461
ALR000051755,AL    ,44611
ALR000045518,AL    ,236116
ALR000035139,AL    ,81119
ALD980846828,AL    ,541512
ALD980841761,AL    ,48621
ALR000031393,AL    ,321918
ALD983167792,AL    ,61171
ALR000023812,AL    ,452311
ALR000017202,AL    ,81111
ALD077654036,AL    ,332431
ALR000027185,AL    ,49211
ALR000045096,AL    ,532412
ALR000050633,AL    ,452111
ALD061148565,AL    ,33992
ALD982114209,AL    ,42111
ALR000030064,AL    ,56291
ALD983181843,AL    ,32311
ALR000024752,AL    ,32512
ALD034018689,AL    ,812332
ALD034058164,AL    ,44132
ALR000005728,AL    ,42383
ALR000024463,AL    ,21112
ALR000007658,AL    ,81232
ALR000012922,AL    ,53212
ALR000000968,AL    ,62211
ALR000038927,AL    ,336999
ALR000046805,AL    ,11111
ALR000032730,AL    ,332811
ALR000038091,AL    ,562212
ALR000032375,AL    ,811111
ALR000022251,AL    ,49221
ALD983192402,AL    ,32412
ALD982174005,AL    ,44131
ALR000012567,AL    ,48849
ALR000048991,AL    ,811111
ALR000043331,AL    ,32311
ALD981757891,AL    ,532412
ALD055907711,AL    ,484121
ALD981854649,AL    ,48411
ALR000017277,AL    ,811191
ALR000007542,AL    ,333922
ALD981021850,AL    ,334514
ALR000046714,AL    ,23821
ALR000023101,AL    ,237310
ALD983192881,AL    ,332312
ALD982116303,AL    ,44111
ALD980708275,AL    ,32522
ALD983183872,AL    ,811121
ALD983184052,AL    ,44131
ALR000010280,AL    ,325412
ALD982098329,AL    ,811111
ALR000043828,AL    ,811111
ALR000043828,AL    ,811191
ALR000018341,AL    ,811111
ALR000024885,AL    ,441310
ALR000021691,AL    ,811111
ALD004002838,AL    ,32511
ALD093179158,AL    ,81232
ALR000026708,AL    ,51331
ALR000030494,AL    ,333612
ALD982145302,AL    ,23599
ALD983178542,AL    ,811118
ALR000024455,AL    ,23411
ALR000019380,AL    ,811121
ALR000048124,AL    ,811111
ALR000001339,AL    ,332212
ALR000035709,AL    ,811192
ALR000004069,AL    ,336612
ALR000034611,AL    ,81111
ALR000017558,AL    ,811118
ALR000009571,AL    ,49319
ALR000012872,AL    ,811118
ALR000012872,AL    ,81111
ALR000007807,AL    ,324191
ALR000018663,AL    ,811191
ALD000737478,AL    ,42269
ALD982124604,AL    ,81111
ALD000652974,AL    ,42271
ALR000039461,AL    ,45291
ALR000024976,AL    ,326122
ALD982082851,AL    ,81111
ALR000047233,AL    ,811111
ALD982143026,AL    ,54171
ALR000028746,AL    ,92811
ALR000007393,AL    ,81149
ALD980839492,AL    ,61131
ALR000005215,AL    ,48849
ALR000033233,AL    ,32732
ALD072086275,AL    ,42291
ALD072086275,AL    ,32532
ALD046820197,AL    ,48411
ALD127897270,AL    ,48411
ALD061147351,AL    ,811111
ALR000049551,AL    ,92119
ALR000011254,AL    ,337122
ALD058630096,AL    ,333415
ALD983166547,AL    ,811121
ALD000652479,AL    ,324199
ALR000019844,AL    ,44131
AL0000448068,AL    ,441
AL0000448068,AL    ,44131
ALD982119380,AL    ,321114
ALD003276789,AL    ,314129
ALD034050195,AL    ,44111
ALR000025239,AL    ,81111
ALD983169665,AL    ,44711
ALD034032847,AL    ,44111
ALR000048058,AL    ,811111
ALD057203135,AL    ,325311
ALR000004424,AL    ,452311
ALR000018564,AL    ,811118
ALR000029876,AL    ,532412
ALR000018606,AL    ,811118
ALD058227778,AL    ,811121
ALR000017012,AL    ,811111
ALD981751324,AL    ,44111
ALR000032128,AL    ,611512
ALR000042663,AL    ,811111
ALR000042663,AL    ,811118
ALD053676524,AL    ,53212
ALR000045377,AL    ,811111
ALR000011874,AL    ,811122
ALR000007344,AL    ,811111
ALD055891337,AL    ,44111
ALD004020921,AL    ,32732
ALR000026914,AL    ,81131
ALR000024778,AL    ,332312
ALR000013862,AL    ,49319
ALR000044834,AL    ,811113
ALR000042275,AL    ,452311
ALD041021965,AL    ,311612
AL0000898130,AL    ,811111
ALD106914187,AL    ,484122
ALD983192196,AL    ,48423
ALR000028449,AL    ,333111
ALD983169582,AL    ,4471
ALD983170275,AL    ,42271
ALR000050625,AL    ,452111
ALD091416941,AL    ,811121
ALR000017236,AL    ,811111
ALR000017236,AL    ,811191
ALD983184953,AL    ,332311
ALD983175076,AL    ,23521
ALD983169814,AL    ,4471
ALD983169632,AL    ,4471
ALD041380973,AL    ,335931
ALR000045401,AL    ,811111
ALR000046722,AL    ,332312
ALR000018911,AL    ,44131
ALR000040923,AL    ,484122
ALR000044867,AL    ,49221
ALR000023150,AL    ,811191
AL0000196758,AL    ,44111
ALR000019356,AL    ,221122
ALR000040907,AL    ,53112
ALR000040469,AL    ,81119
ALD000653022,AL    ,337214
ALD037491909,AL    ,336992
ALD981860596,AL    ,811121
AL0000870840,AL    ,811192
ALR000043075,AL    ,32614
ALR000023291,AL    ,811411
ALR000002311,AL    ,45299
ALR000038372,AL    ,54171
ALR000047969,AL    ,48599
ALR000045658,AL    ,48691
ALR000036426,AL    ,61111
ALR000017434,AL    ,811118
ALD983180472,AL    ,31332
ALD983180472,AL    ,326199
ALD004003380,AL    ,32213
ALD983190703,AL    ,56299
ALD983170143,AL    ,4471
ALD983169095,AL    ,311911
ALD981474356,AL    ,22111
ALR000040378,AL    ,23731
ALD983192139,AL    ,33661
ALD012726642,AL    ,337214
ALD050161066,AL    ,42469
ALR000036558,AL    ,811191
ALD983185497,AL    ,811121
ALR000023952,AL    ,452311
ALD000615666,AL    ,811111
ALR000025908,AL    ,811111
ALD050985688,AL    ,326199
ALR000013755,AL    ,54171
ALD983188673,AL    ,31311
ALR000017582,AL    ,325611
ALR000033951,AL    ,452311
ALR000045625,AL    ,423930
ALR000018572,AL    ,811111
ALD983167222,AL    ,811121
ALD981756331,AL    ,42245
ALR000036582,AL    ,33271
ALD982133787,AL    ,81149
ALD083742858,AL    ,221112
ALR000015263,AL    ,33231
AL0000028811,AL    ,332312
ALD983191065,AL    ,81232
ALR000040394,AL    ,23731
ALD031498967,AL    ,44111
ALD031507445,AL    ,326122
ALD055910178,AL    ,33131
ALR000024034,AL    ,42351
ALD983177106,AL    ,42212
ALD983169558,AL    ,81149
ALD981744543,AL    ,81232
ALD982082505,AL    ,811121
ALR000023655,AL    ,45299
ALD982087884,AL    ,811111
ALR000024166,AL    ,311221
ALD983195371,AL    ,48621
ALD078982907,AL    ,44111
ALR000012013,AL    ,321212
ALR000004184,AL    ,61131
ALR000007328,AL    ,33711
ALR000004432,AL    ,33142
ALR000031765,AL    ,811192
ALR000022624,AL    ,44132
ALR000034389,AL    ,62211
ALD983182924,AL    ,42295
ALR000033498,AL    ,326299
AL0000566356,AL    ,811111
ALD981023419,AL    ,811111
ALD079118881,AL    ,311615
ALR000029439,AL    ,22132
ALR000042911,AL    ,332313
ALR000045807,AL    ,48411
ALR000017111,AL    ,32311
ALR000034819,AL    ,56221
ALR000043901,AL    ,81111
ALR000006593,AL    ,333511
ALR000033043,AL    ,23833
ALR000040964,AL    ,321113
ALD983194663,AL    ,811111
ALR000007641,AL    ,81232
ALR000009613,AL    ,42193
ALD061146544,AL    ,56171
ALD982145062,AL    ,322211
ALR000030916,AL    ,42269
ALR000035832,AL    ,811191
ALD983166752,AL    ,811111
ALR000018739,AL    ,212312
ALD983169897,AL    ,42271
ALD981754922,AL    ,81232
ALD149979940,AL    ,44611
ALD094483963,AL    ,336411
ALD982084576,AL    ,811121
ALR000014167,AL    ,32213
ALR000028407,AL    ,44511
ALD000773622,AL    ,22132
ALD000773630,AL    ,22132
ALR000045021,AL    ,326111
ALR000012088,AL    ,32742
ALR000016196,AL    ,22121
ALR000008326,AL    ,321114
ALR000017020,AL    ,811111
ALD004382925,AL    ,49311
ALR000005348,AL    ,335311
ALN930617003,AL    ,811111
ALR000032946,AL    ,811111
ALR000002543,AL    ,326199
ALD094483591,AL    ,33211
ALR000024612,AL    ,21112
MSD000833293,AL    ,56291
SCR000075309,AL    ,424720
NCD986232221,AL    ,56291
ALD983191222,AL    ,313111
NCD986194306,AL    ,562998
ALD001817295,AL    ,33632
ALD983195413,AL    ,44111
ALR000043562,AL    ,23832
ALR000009662,AL    ,42469
ALD128686714,AL    ,44122
ALR000013086,AL    ,812922
ALD982108748,AL    ,332999
ALD034025221,AL    ,81111
ALR000019422,AL    ,333611
ALD983188681,AL    ,61131
ALR000045906,AL    ,333999
ALR000044255,AL    ,212312
AL0000879338,AL    ,811111
GAR000010884,AL    ,562119
NCR000138578,AL    ,562112
ALD983183088,AL    ,811121
AL7210020742,AL    ,92811
ALR000053975,AL    ,446110
ALR000053991,AL    ,42313
ALD095687679,AL    ,331315
ALD062464748,AL    ,32518
ALD000826958,AL    ,54194
ALD000826958,AL    ,92614
ALD057213811,AL    ,331529
ALD981923659,AL    ,33711
ALD004009320,AL    ,32411
ALR000038133,AL    ,452311
ALD983192253,AL    ,325120
ALD031490501,AL    ,321114
ALD980839112,AL    ,332322
ALR000048660,AL    ,221112
ALR000054114,AL    ,423720
ALR000051383,AL    ,811118
ALR000053371,AL    ,325199
ALD983174079,AL    ,81112
ALR000048603,AL    ,21112
ALD983192246,AL    ,32512
GAR000051805,AL    ,562111
ALD078964970,AL    ,32551
ALD982155178,AL    ,327993
ALR000037515,AL    ,811111
ALD044496966,AL    ,331315
ALR000053900,AL    ,23832
ALR000044453,AL    ,33121
ALR000016261,AL    ,33152
ALD020852422,AL    ,32411
AL6210020776,AL    ,811111
ALR000038323,AL    ,326122
INR000123497,AL    ,562112
IND181353806,AL    ,562112
ILD981195720,AL    ,484121
ILR000019588,AL    ,484230
MID021087275,AL    ,484230
INR000022798,AL    ,48412
OH0000000539,AL    ,562112
OHR000159129,AL    ,48411
ARR000017830,AL    ,48423
LAD980869408,AL    ,33621
OKD007222128,AL    ,562111
LAD985217819,AL    ,48832
ARR000016733,AL    ,484121
LAR000045963,AL    ,48422
OKD982293334,AL    ,54162
MOD041301086,AL    ,42471
MOR000508838,AL    ,48412
COR000206722,AL    ,484121
COR000005389,AL    ,811118
MAD039322250,AL    ,562111
CTD983896341,AL    ,562111
NJD054126164,AL    ,562112
ALR000052902,AL    ,446110
ALR000011403,AL    ,81232
ALR000033878,AL    ,482111
ALD982129694,AL    ,81111
ALR000032953,AL    ,811191
ALR000052845,AL    ,446110
ALR000053702,AL    ,23832
ALR000036160,AL    ,61111
ALD983176421,AL    ,811118
ALD983167842,AL    ,811121
ALD983185612,AL    ,811111
ALR000014480,AL    ,81119
ALD001533108,AL    ,332111
AL0000989640,AL    ,32551
ALR000052647,AL    ,44611
ALD983170028,AL    ,4471
ALD983171240,AL    ,811111
ALD983175654,AL    ,4471
ALR000032433,AL    ,56211
ALR000051573,AL    ,44611
ALD981477557,AL    ,221112
ALR000029728,AL    ,323112
ALR000029462,AL    ,812922
ALR000021709,AL    ,811111
ALR000017699,AL    ,331222
ALR000051532,AL    ,44611
ALR000023440,AL    ,445299
ALR000003798,AL    ,44111
ALR000037317,AL    ,811191
AL0002006476,AL    ,22121
ALR000010975,AL    ,621112
ALR000011338,AL    ,811111
ALR000017996,AL    ,212312
AL0000194803,AL    ,32412
ALR000037887,AL    ,81111
ALR000021279,AL    ,81111
ALD004010880,AL    ,32311
ALR000028340,AL    ,811111
ALR000028340,AL    ,44132
ALD119728046,AL    ,81111
ALR000034421,AL    ,48841
ALR000023242,AL    ,811191
ALR000030775,AL    ,44111
ALR000037754,AL    ,811191
ALR000039438,AL    ,811111
ALD982140246,AL    ,339999
ALR000014654,AL    ,212312
ALR000024273,AL    ,326299
ALD982145120,AL    ,811121
ALR000005538,AL    ,811111
AL0000063578,AL    ,45111
ALD982096554,AL    ,42361
ALD044886844,AL    ,33991
ALR000009928,AL    ,42269
ALD983167735,AL    ,44111
ALR000020537,AL    ,44131
ALD055155485,AL    ,33272
ALD981751431,AL    ,323118
ALD983193145,AL    ,811111
ALD983193145,AL    ,61131
ALR000049759,AL    ,62211
ALR000009688,AL    ,33995
ALR000029744,AL    ,532111
ALR000033928,AL    ,482111
AL0000877951,AL    ,81111
ALR000006080,AL    ,333922
ALD002166338,AL    ,332813
ALD983174186,AL    ,313111
ALD983173881,AL    ,32591
ALD075045575,AL    ,32518
AL0000141333,AL    ,81232
ALD983178286,AL    ,441
ALR000011544,AL    ,333319
ALR000051060,AL    ,811111
ALD004023180,AL    ,331315
ALD000773432,AL    ,2349
ALR000008698,AL    ,44131
ALR000045369,AL    ,81112
AL0000057190,AL    ,811122
ALR000036764,AL    ,23521
ALR000009696,AL    ,48621
ALR000029546,AL    ,45431
ALD059894683,AL    ,81111
ALD982097073,AL    ,33461
ALR000044198,AL    ,61111
ALR000047845,AL    ,811111
ALD981023583,AL    ,811213
ALR000025809,AL    ,424720
ALR000038554,AL    ,44111
ALR000046151,AL    ,92216
ALD050157346,AL    ,33422
AL0000604843,AL    ,44111
ALD049699366,AL    ,331511
ALR000009142,AL    ,811191
ALR000018622,AL    ,81111
ALD981015142,AL    ,33634
ALR000006726,AL    ,313311
ALR000030791,AL    ,56121
ALR000017210,AL    ,811118
ALR000003459,AL    ,811191
ALR000005959,AL    ,811191
ALD982168080,AL    ,326299
ALD983183070,AL    ,811111
ALR000027490,AL    ,32311
ALR000012831,AL    ,335228
ALD031584147,AL    ,81232
ALD983184383,AL    ,811111
ALR000019398,AL    ,334516
ALR000051904,AL    ,44611
ALD983183062,AL    ,333319
ALR000031955,AL    ,562111
ALD983191982,AL    ,811111
ALR000005918,AL    ,325412
ALR000006742,AL    ,811121
ALD983179904,AL    ,811211
ALD983170804,AL    ,54138
ALD983185356,AL    ,811121
ALD983185455,AL    ,811121
ALD003396264,AL    ,337127
ALR000034801,AL    ,336419
ALD982082620,AL    ,333319
ALR000042564,AL    ,811112
ALD031468465,AL    ,44111
ALD981751498,AL    ,811118
ALD067112813,AL    ,56173
ALD003398237,AL    ,811111
ALD003398237,AL    ,42114
ALD983173949,AL    ,42184
ALR000022756,AL    ,45299
AL0000105270,AL    ,44131
ALR000016675,AL    ,212312
ALR000006676,AL    ,45211
ALR000006734,AL    ,53212
ALR000033431,AL    ,81232
ALR000051763,AL    ,44611
ALR000008938,AL    ,811121
ALR000000224,AL    ,2349
ALD982167496,AL    ,811121
ALD982098253,AL    ,336611
ALD093182996,AL    ,4841
ALD980559843,AL    ,33281
ALD058631573,AL    ,44111
ALR000017301,AL    ,484220
ALR000051847,AL    ,44611
ALR000039958,AL    ,33634
ALR000039370,AL    ,811191
ALR000027813,AL    ,325211
AL0000364679,AL    ,42481
ALR000039420,AL    ,81111
ALR000034413,AL    ,333921
ALR000043778,AL    ,221112
ALR000042317,AL    ,221111
ALD981469687,AL    ,482111
ALR000018655,AL    ,811118
ALD981923725,AL    ,321114
ALD983175092,AL    ,48422
ALR000049486,AL    ,811111
ALR000051334,AL    ,81111
ALR000047704,AL    ,811111
ALD982167736,AL    ,44111
ALD034058164,AL    ,44111
ALD085774453,AL    ,81131
ALR000018630,AL    ,81111
ALR000045104,AL    ,48849
ALR000016055,AL    ,212312
ALD034015503,AL    ,33639
ALD034015503,AL    ,333618
ALR000031021,AL    ,811191
ALR000001164,AL    ,811111
ALR000025890,AL    ,221122
ALD981756158,AL    ,517311
AL0000899831,AL    ,81111
ALR000010256,AL    ,213112
ALR000053116,AL    ,44611
ALR000001065,AL    ,44111
ALR000016246,AL    ,332312
ALD982080798,AL    ,311615
ALD982174005,AL    ,44111
ALR000031070,AL    ,562112
ALR000047423,AL    ,811111
ALR000051458,AL    ,32222
ALR000024554,AL    ,33299
ALD983173907,AL    ,42183
ALN940817004,AL    ,423810
ALR000008250,AL    ,313311
ALR000039578,AL    ,332312
ALR000017269,AL    ,811118
ALD983194739,AL    ,44111
ALD981021850,AL    ,326199
ALR000046094,AL    ,92311
ALR000034769,AL    ,48621
ALR000033704,AL    ,44411
ALD031589120,AL    ,811121
ALR000044883,AL    ,325412
ALD039135231,AL    ,32211
ALR000024208,AL    ,21111
ALD031536154,AL    ,562111
ALR000007237,AL    ,48423
ALR000044347,AL    ,44412
ALD000613869,AL    ,31321
ALD067111450,AL    ,332813
ALR000010926,AL    ,32712
ALD000823179,AL    ,324199
ALD983180357,AL    ,54171
ALD004002838,AL    ,325192
ALD008190555,AL    ,32213
AL0000870931,AL    ,812331
ALD061141958,AL    ,811111
ALD072113798,AL    ,333415
ALD983180142,AL    ,811192
ALD981478696,AL    ,81232
ALR000043984,AL    ,311710
ALD008150617,AL    ,22132
ALR000027474,AL    ,33251
ALR000026146,AL    ,81111
ALR000001321,AL    ,811191
ALR000014258,AL    ,333515
ALR000017558,AL    ,811111
ALR000012815,AL    ,326122
ALD981023526,AL    ,811213
ALR000046557,AL    ,326199
ALR000009019,AL    ,33636
ALR000017509,AL    ,811111
ALR000034066,AL    ,532412
ALD982092660,AL    ,336211
ALD039133434,AL    ,33392
ALR000036459,AL    ,61111
ALD981758014,AL    ,81232
ALR000016311,AL    ,33631
ALR000048678,AL    ,332812
ALR000047894,AL    ,811111
ALD004028148,AL    ,333414
ALD983175050,AL    ,54185
ALD981932957,AL    ,445299
ALD983183153,AL    ,811111
ALD981757651,AL    ,44111
AL0000452136,AL    ,42469
ALD003394830,AL    ,321114
ALD004021721,AL    ,32311
ALR000022277,AL    ,53212
ALR000011957,AL    ,332999
ALD004026803,AL    ,42183
ALR000026773,AL    ,32541
ALD082142944,AL    ,323111
ALD981928211,AL    ,81232
ALD981468457,AL    ,337122
ALD983192519,AL    ,335129
ALR000022079,AL    ,81111
ALD058639113,AL    ,332812
ALR000005447,AL    ,81149
ALD981754237,AL    ,42291
ALD983176884,AL    ,81111
ALR000001768,AL    ,811111
ALR000017517,AL    ,811111
ALD982095648,AL    ,44111
ALR000018697,AL    ,811118
ALD983168378,AL    ,44131
ALD982108565,AL    ,33792
ALD983168311,AL    ,44412
ALR000030478,AL    ,315999
ALR000005769,AL    ,811111
AL0001019488,AL    ,31183
ALD983175134,AL    ,811121
ALR000018564,AL    ,811191
ALR000043083,AL    ,332994
ALD982109860,AL    ,42269
ALD982144735,AL    ,322223
ALD000607994,AL    ,33999
ALD046864591,AL    ,56291
ALD001874171,AL    ,92612
ALR000031419,AL    ,811191
ALR000012518,AL    ,325211
ALD004002655,AL    ,326299
ALR000045823,AL    ,336211
ALD983179086,AL    ,482111
ALR000012823,AL    ,44132
ALD087638755,AL    ,323112
AL0000898130,AL    ,81111
AL0000898130,AL    ,811191
ALR000023168,AL    ,811191
ALR000031930,AL    ,44131
ALR000011619,AL    ,321912
ALR000022400,AL    ,81111
ALR000007070,AL    ,212319
ALD063678114,AL    ,331423
ALR000008102,AL    ,333514
ALD983193822,AL    ,811121
ALR000050666,AL    ,452111
ALD983194028,AL    ,5133
ALD982124554,AL    ,332813
AL0000933846,AL    ,44112
ALD982142663,AL    ,33711
ALD041380973,AL    ,335311
ALD982151615,AL    ,48541
ALR000016386,AL    ,81111
ALR000007690,AL    ,711212
ALD031487085,AL    ,321113
ALR000046540,AL    ,336612
ALR000028241,AL    ,811111
AL0000196758,AL    ,811111
ALD983177155,AL    ,488999
ALD982141541,AL    ,811111
ALD982141541,AL    ,811112
AL0000194639,AL    ,811111
ALR000032854,AL    ,48819
ALR000022194,AL    ,331524
ALR000014753,AL    ,811111
ALD149984445,AL    ,811111
ALD982083107,AL    ,811121
ALD093178903,AL    ,32616
ALD982166878,AL    ,42151
ALR000050955,AL    ,562119
ALD983184391,AL    ,32552
ALD981919418,AL    ,33271
ALD982106288,AL    ,44111
ALR000018192,AL    ,81112
ALD983169509,AL    ,32512
ALR000031914,AL    ,333921
ALR000046441,AL    ,332111
ALR000009704,AL    ,811213
ALR000006882,AL    ,611512
ALR000030262,AL    ,23731
ALR000023077,AL    ,811191
ALR000021600,AL    ,311119
ALR000021600,AL    ,31111
ALR000042499,AL    ,56121
ALR000051227,AL    ,49311
ALR000047688,AL    ,44111
ALR000035188,AL    ,61111
ALD983194085,AL    ,811111
ALD983181751,AL    ,484121
ALD982090540,AL    ,44111
ALD981028772,AL    ,81232
ALR000018093,AL    ,48411
ALD983180605,AL    ,42183
ALD983176447,AL    ,42184
ALR000019042,AL    ,811111
ALR000004879,AL    ,332322
ALR000017582,AL    ,324191
ALR000006551,AL    ,81111
ALR000015222,AL    ,48421
ALR000012260,AL    ,32551
ALR000018481,AL    ,212312
ALD983176785,AL    ,313111
ALD057218828,AL    ,332312
ALD983171315,AL    ,42272
ALD982086084,AL    ,32311
ALR000015446,AL    ,323115
ALR000031963,AL    ,53212
ALR000048710,AL    ,44132
ALR000010108,AL    ,111333
ALD040647547,AL    ,81232
ALD063103931,AL    ,811118
AL0000028886,AL    ,42184
ALD054567649,AL    ,333415
ALD983194101,AL    ,44131
ALR000014878,AL    ,49311
ALD031498967,AL    ,811191
ALR000047464,AL    ,212312
ALR000048298,AL    ,92811
ALR000048231,AL    ,324199
ALR000011171,AL    ,424950
ALD112639869,AL    ,81232
ALR000043364,AL    ,811191
ALD983167990,AL    ,322299
ALD983195173,AL    ,33242
ALD983168360,AL    ,44221
ALR000051599,AL    ,44611
ALR000015701,AL    ,32732
ALR000039396,AL    ,811191
ALR000007161,AL    ,62211
ALD983180332,AL    ,333319
ALD983167008,AL    ,44111
ALR000021683,AL    ,811111
ALR000050930,AL    ,811191
ALR000031435,AL    ,23594
ALR000040477,AL    ,44122
ALR000005306,AL    ,452311
ALR000045534,AL    ,212321
ALD051579134,AL    ,532412
ALR000030866,AL    ,53249
ALD067138891,AL    ,48423
ALR000023788,AL    ,452311
ALD981744600,AL    ,81232
AL8640006690,AL    ,221112
ALR000022442,AL    ,56299
ALR000029934,AL    ,532412
ALR000031260,AL    ,532412
ALR000048959,AL    ,811111
ALD000622860,AL    ,321113
ALD013456322,AL    ,311225
AL0000094052,AL    ,811121
AL0000485920,AL    ,81232
ALR000050013,AL    ,336611
ALR000022517,AL    ,441222
ALD983183997,AL    ,44413
ALD040653537,AL    ,33331
ALR000018127,AL    ,48411
AL4170024638,AL    ,336611
ALD981922115,AL    ,61131
ALD078983566,AL    ,332999
ALR000011940,AL    ,621511
ALR000033969,AL    ,452311
ALR000012229,AL    ,49221
ALR000043893,AL    ,811113
ALR000013748,AL    ,48423
ALR000008474,AL    ,327999
ALD982159899,AL    ,44112
ALR000031450,AL    ,44112
ALD983166646,AL    ,811111
ALD120234356,AL    ,221112
ALR000049932,AL    ,811111
ALD982116907,AL    ,811121
ALD983194515,AL    ,811191
ALR000018671,AL    ,811118
ALR000016782,AL    ,212312
ALR000000612,AL    ,326199
ALD982090425,AL    ,812331
ALR000017848,AL    ,212312
ALR000027300,AL    ,325199
ALR000051250,AL    ,811111
ALD004003489,AL    ,332323
ALR000042671,AL    ,44412
ALD983181728,AL    ,326191
ALR000022939,AL    ,811191
ALD000737304,AL    ,42471
ALD983178310,AL    ,48412
ALD983183096,AL    ,562111
ALR000025379,AL    ,811118
ALR000032094,AL    ,311119
ALD982095705,AL    ,811191
ALD982109852,AL    ,44112
ALR000012112,AL    ,325211
ALR000034561,AL    ,92612
ALD983170218,AL    ,42271
ALD070510466,AL    ,562112
ALD983168402,AL    ,333319
GAR000007484,AL    ,562219
GAR000007484,AL    ,562998
SCR000002857,AL    ,481219
ALD983193459,AL    ,44111
ALR000029223,AL    ,44511
ALR000043497,AL    ,562112
ALR000013086,AL    ,44611
ALD983173360,AL    ,54199
ALD034025221,AL    ,44112
ALR000023333,AL    ,321213
ALD983173915,AL    ,53231
ALR000031856,AL    ,42345
ALR000018986,AL    ,811191
ALR000025130,AL    ,321113
ALD983169046,AL    ,4471
ALD982088494,AL    ,81149
TND981920119,AL    ,48411
GAR000034710,AL    ,22132
GAR000027599,AL    ,54162
MSR000100842,AL    ,56291
MSR000102624,AL    ,48411
ALR000031401,AL    ,811111
ALR000048421,AL    ,49319
ALR000004374,AL    ,44132
ALR000021030,AL    ,562111
ALR000031013,AL    ,811191
ALD981023294,AL    ,81111
ALR000026872,AL    ,33271
ALR000006130,AL    ,562998
ALD000826958,AL    ,61131
ALR000002246,AL    ,336211
ALR000048694,AL    ,23731
ALR000052530,AL    ,446110
ALR000052829,AL    ,44611
ALR000052852,AL    ,44611
ALR000053405,AL    ,42386
ALD983179466,AL    ,332999
ALD983192543,AL    ,337110
ALR000039388,AL    ,81111
ALR000045484,AL    ,811191
ALD004012050,AL    ,332813
ALR000015826,AL    ,332812
ALD983174079,AL    ,44111
GAR000051805,AL    ,484121
GAR000060905,AL    ,48423
ALD983179748,AL    ,336611
AL3210020027,AL    ,336992
ALR000053918,AL    ,23832
ALR000052183,AL    ,446110
ALD094476413,AL    ,562910
ALD003397569,AL    ,33121
WID988566543,AL    ,56221
MNR000107474,AL    ,484121
MID985642560,AL    ,48423
ILD984835785,AL    ,562119
OHD009865825,AL    ,48411
OHD980568992,AL    ,562211
LAD187640891,AL    ,4841
LAD064641889,AL    ,48411
LAR000055467,AL    ,562112
TXD982293854,AL    ,562112
TXR000029215,AL    ,48411
TXR000029728,AL    ,48411
TX0000181073,AL    ,48411
CAR000072462,AL    ,484121
CAT000624247,AL    ,484230
NJR000011528,AL    ,48423
ALR000035295,AL    ,61111
ALD981746340,AL    ,333319
ALR000048744,AL    ,532412
ALD983192808,AL    ,811121
ALR000028191,AL    ,81232
ALR000051300,AL    ,811191
ALD983185000,AL    ,61131
ALD004009163,AL    ,325311
ALR000022178,AL    ,81222
ALR000052985,AL    ,23832
ALR000052720,AL    ,44611
ALR000032953,AL    ,811111
ALD981757776,AL    ,44111
ALR000024174,AL    ,54138
ALR000001172,AL    ,81131
ALR000032292,AL    ,811191
ALD006901250,AL    ,44111
ALD070505714,AL    ,332313
ALR000017749,AL    ,811111
ALD982083529,AL    ,44111
ALD041903667,AL    ,322222
ALR000050021,AL    ,482112
ALR000002998,AL    ,423930
ALD983169657,AL    ,811192
ALD983171216,AL    ,4471
ALD982129900,AL    ,811111
ALD983176124,AL    ,811111
ALD983184458,AL    ,52421
ALD982105660,AL    ,44111
ALD981024987,AL    ,81232
ALR000015271,AL    ,333415
ALR000003574,AL    ,423930
ALD982155236,AL    ,811121
ALR000031286,AL    ,532412
ALR000026633,AL    ,811111
ALR000029462,AL    ,452311
ALR000017541,AL    ,81111
ALR000042770,AL    ,452311
ALD981758188,AL    ,332999
ALR000024042,AL    ,53212
ALR000013219,AL    ,484230
ALR000032045,AL    ,452311
ALR000021675,AL    ,811111
ALD004026654,AL    ,42381
ALR000043018,AL    ,441320
ALR000025304,AL    ,811111
ALR000045070,AL    ,562991
ALD982123739,AL    ,48621
ALR000046037,AL    ,811113
ALD119728046,AL    ,485113
ALR000041103,AL    ,23731
ALR000046862,AL    ,62191
ALR000043885,AL    ,811198
